skill,count,date
react,11,2025-12-24
ai,11,2025-12-24
python,8,2025-12-24
typescript,7,2025-12-24
sql,7,2025-12-24
javascript,7,2025-12-24
redis,5,2025-12-24
git,4,2025-12-24
agile,4,2025-12-24
aws,4,2025-12-24
docker,4,2025-12-24
mongodb,3,2025-12-24
node.js,3,2025-12-24
vue,3,2025-12-24
kubernetes,3,2025-12-24
gcp,3,2025-12-24
ci/cd,2,2025-12-24
azure,2,2025-12-24
scrum,2,2025-12-24
pytorch,1,2025-12-24
mysql,1,2025-12-24
tensorflow,1,2025-12-24
angular,1,2025-12-24
django,1,2025-12-24
terraform,1,2025-12-24
java,1,2025-12-24
machine learning,1,2025-12-24
pandas,1,2025-12-24
numpy,1,2025-12-24
postgresql,1,2025-12-24
