skill,count,date
ai,9,2026-04-10
typescript,9,2026-04-10
react,9,2026-04-10
aws,8,2026-04-10
postgresql,7,2026-04-10
ci/cd,7,2026-04-10
javascript,7,2026-04-10
python,6,2026-04-10
docker,4,2026-04-10
redis,4,2026-04-10
git,4,2026-04-10
azure,3,2026-04-10
gcp,3,2026-04-10
mongodb,3,2026-04-10
node.js,3,2026-04-10
sql,3,2026-04-10
angular,2,2026-04-10
kubernetes,2,2026-04-10
agile,2,2026-04-10
mysql,2,2026-04-10
java,2,2026-04-10
scrum,1,2026-04-10
flask,1,2026-04-10
spring boot,1,2026-04-10
terraform,1,2026-04-10
linux,1,2026-04-10
vue,1,2026-04-10
