skill,count,date
react,13,2025-12-11
javascript,13,2025-12-11
ai,12,2025-12-11
docker,10,2025-12-11
sql,10,2025-12-11
python,10,2025-12-11
ci/cd,10,2025-12-11
typescript,10,2025-12-11
kubernetes,9,2025-12-11
postgresql,9,2025-12-11
aws,6,2025-12-11
agile,6,2025-12-11
node.js,6,2025-12-11
vue,5,2025-12-11
redis,4,2025-12-11
scrum,4,2025-12-11
git,3,2025-12-11
gcp,3,2025-12-11
mongodb,3,2025-12-11
machine learning,3,2025-12-11
flask,3,2025-12-11
angular,3,2025-12-11
mysql,3,2025-12-11
java,2,2025-12-11
django,2,2025-12-11
linux,2,2025-12-11
terraform,1,2025-12-11
fastapi,1,2025-12-11
azure,1,2025-12-11
