skill,count,date
react,13,2026-01-05
redis,8,2026-01-05
python,8,2026-01-05
typescript,8,2026-01-05
javascript,8,2026-01-05
postgresql,7,2026-01-05
sql,6,2026-01-05
django,6,2026-01-05
docker,6,2026-01-05
git,6,2026-01-05
aws,6,2026-01-05
vue,5,2026-01-05
kubernetes,5,2026-01-05
mongodb,5,2026-01-05
ci/cd,4,2026-01-05
ai,4,2026-01-05
fastapi,4,2026-01-05
node.js,4,2026-01-05
mysql,4,2026-01-05
agile,3,2026-01-05
gcp,3,2026-01-05
terraform,2,2026-01-05
angular,2,2026-01-05
machine learning,1,2026-01-05
java,1,2026-01-05
azure,1,2026-01-05
scrum,1,2026-01-05
flask,1,2026-01-05
linux,1,2026-01-05
