skill,count,date
ai,17,2026-09-03
aws,9,2026-09-03
python,8,2026-09-03
sql,7,2026-09-03
machine learning,7,2026-09-03
gcp,6,2026-09-03
typescript,6,2026-09-03
javascript,6,2026-09-03
ci/cd,5,2026-09-03
docker,5,2026-09-03
react,5,2026-09-03
azure,4,2026-09-03
java,4,2026-09-03
postgresql,3,2026-09-03
agile,3,2026-09-03
kubernetes,3,2026-09-03
git,3,2026-09-03
django,2,2026-09-03
linux,2,2026-09-03
node.js,2,2026-09-03
fastapi,1,2026-09-03
angular,1,2026-09-03
vue,1,2026-09-03
mysql,1,2026-09-03
scrum,1,2026-09-03
spring boot,1,2026-09-03
