skill,count,date
ai,14,2026-06-03
python,7,2026-06-03
aws,7,2026-06-03
react,7,2026-06-03
ci/cd,6,2026-06-03
typescript,6,2026-06-03
azure,5,2026-06-03
javascript,4,2026-06-03
machine learning,4,2026-06-03
java,4,2026-06-03
gcp,3,2026-06-03
angular,3,2026-06-03
terraform,3,2026-06-03
redis,3,2026-06-03
kubernetes,3,2026-06-03
docker,3,2026-06-03
linux,2,2026-06-03
node.js,2,2026-06-03
jenkins,2,2026-06-03
git,2,2026-06-03
agile,2,2026-06-03
sql,2,2026-06-03
vue,2,2026-06-03
postgresql,1,2026-06-03
mongodb,1,2026-06-03
