skill,count,date
react,13,2026-02-20
javascript,12,2026-02-20
typescript,12,2026-02-20
ci/cd,10,2026-02-20
ai,9,2026-02-20
aws,8,2026-02-20
git,8,2026-02-20
docker,7,2026-02-20
python,7,2026-02-20
node.js,5,2026-02-20
sql,5,2026-02-20
azure,4,2026-02-20
gcp,3,2026-02-20
postgresql,3,2026-02-20
mysql,3,2026-02-20
java,2,2026-02-20
vue,2,2026-02-20
kubernetes,2,2026-02-20
agile,2,2026-02-20
scrum,2,2026-02-20
fastapi,1,2026-02-20
tensorflow,1,2026-02-20
pytorch,1,2026-02-20
machine learning,1,2026-02-20
linux,1,2026-02-20
terraform,1,2026-02-20
jenkins,1,2026-02-20
redis,1,2026-02-20
