skill,count,date
ai,17,2026-07-18
python,9,2026-07-18
react,7,2026-07-18
javascript,7,2026-07-18
vue,6,2026-07-18
typescript,6,2026-07-18
sql,5,2026-07-18
ci/cd,5,2026-07-18
aws,5,2026-07-18
git,5,2026-07-18
agile,4,2026-07-18
angular,3,2026-07-18
azure,3,2026-07-18
java,2,2026-07-18
django,2,2026-07-18
scrum,2,2026-07-18
gcp,2,2026-07-18
docker,2,2026-07-18
kubernetes,2,2026-07-18
node.js,2,2026-07-18
terraform,2,2026-07-18
jenkins,1,2026-07-18
linux,1,2026-07-18
mongodb,1,2026-07-18
machine learning,1,2026-07-18
postgresql,1,2026-07-18
mysql,1,2026-07-18
flask,1,2026-07-18
fastapi,1,2026-07-18
