skill,count,date
react,14,2026-01-03
javascript,10,2026-01-03
typescript,9,2026-01-03
redis,8,2026-01-03
postgresql,7,2026-01-03
sql,7,2026-01-03
python,6,2026-01-03
mongodb,6,2026-01-03
git,6,2026-01-03
aws,6,2026-01-03
django,5,2026-01-03
node.js,5,2026-01-03
docker,5,2026-01-03
agile,4,2026-01-03
ci/cd,4,2026-01-03
ai,4,2026-01-03
vue,4,2026-01-03
mysql,4,2026-01-03
kubernetes,4,2026-01-03
gcp,3,2026-01-03
fastapi,3,2026-01-03
terraform,2,2026-01-03
angular,2,2026-01-03
scrum,1,2026-01-03
azure,1,2026-01-03
flask,1,2026-01-03
linux,1,2026-01-03
