skill,count,date
ai,13,2025-12-22
react,11,2025-12-22
python,8,2025-12-22
sql,7,2025-12-22
typescript,7,2025-12-22
javascript,7,2025-12-22
redis,6,2025-12-22
agile,5,2025-12-22
kubernetes,4,2025-12-22
aws,4,2025-12-22
docker,4,2025-12-22
git,3,2025-12-22
mongodb,3,2025-12-22
node.js,3,2025-12-22
gcp,3,2025-12-22
scrum,3,2025-12-22
machine learning,2,2025-12-22
ci/cd,2,2025-12-22
vue,2,2025-12-22
postgresql,2,2025-12-22
java,2,2025-12-22
azure,2,2025-12-22
pytorch,1,2025-12-22
mysql,1,2025-12-22
tensorflow,1,2025-12-22
angular,1,2025-12-22
django,1,2025-12-22
terraform,1,2025-12-22
pandas,1,2025-12-22
numpy,1,2025-12-22
