skill,count,date
ai,13,2026-04-16
postgresql,8,2026-04-16
typescript,7,2026-04-16
react,7,2026-04-16
python,6,2026-04-16
aws,6,2026-04-16
ci/cd,6,2026-04-16
javascript,5,2026-04-16
git,5,2026-04-16
redis,4,2026-04-16
vue,3,2026-04-16
docker,3,2026-04-16
node.js,3,2026-04-16
kubernetes,3,2026-04-16
java,3,2026-04-16
agile,2,2026-04-16
azure,2,2026-04-16
gcp,2,2026-04-16
angular,2,2026-04-16
mongodb,2,2026-04-16
sql,1,2026-04-16
fastapi,1,2026-04-16
django,1,2026-04-16
scrum,1,2026-04-16
flask,1,2026-04-16
terraform,1,2026-04-16
spring boot,1,2026-04-16
