skill,count,date
react,13,2025-12-27
javascript,10,2025-12-27
typescript,9,2025-12-27
ai,9,2025-12-27
redis,8,2025-12-27
python,6,2025-12-27
mongodb,6,2025-12-27
git,5,2025-12-27
sql,5,2025-12-27
node.js,5,2025-12-27
aws,5,2025-12-27
vue,3,2025-12-27
gcp,3,2025-12-27
django,2,2025-12-27
angular,2,2025-12-27
mysql,2,2025-12-27
docker,2,2025-12-27
terraform,2,2025-12-27
ci/cd,2,2025-12-27
agile,2,2025-12-27
kubernetes,2,2025-12-27
linux,1,2025-12-27
fastapi,1,2025-12-27
postgresql,1,2025-12-27
pytorch,1,2025-12-27
tensorflow,1,2025-12-27
azure,1,2025-12-27
