skill,count,date
react,12,2026-02-08
ai,7,2026-02-08
angular,7,2026-02-08
java,6,2026-02-08
agile,6,2026-02-08
javascript,6,2026-02-08
typescript,5,2026-02-08
aws,5,2026-02-08
docker,4,2026-02-08
postgresql,4,2026-02-08
node.js,4,2026-02-08
python,4,2026-02-08
git,4,2026-02-08
ci/cd,4,2026-02-08
sql,4,2026-02-08
scrum,3,2026-02-08
mongodb,3,2026-02-08
linux,3,2026-02-08
gcp,3,2026-02-08
vue,2,2026-02-08
django,2,2026-02-08
azure,2,2026-02-08
jenkins,2,2026-02-08
redis,2,2026-02-08
kubernetes,2,2026-02-08
mysql,2,2026-02-08
terraform,1,2026-02-08
spring boot,1,2026-02-08
