skill,count,date
ai,13,2026-04-14
postgresql,8,2026-04-14
react,8,2026-04-14
python,6,2026-04-14
typescript,6,2026-04-14
aws,6,2026-04-14
javascript,5,2026-04-14
git,5,2026-04-14
ci/cd,5,2026-04-14
redis,4,2026-04-14
vue,3,2026-04-14
node.js,3,2026-04-14
docker,3,2026-04-14
kubernetes,3,2026-04-14
java,3,2026-04-14
agile,2,2026-04-14
azure,2,2026-04-14
gcp,2,2026-04-14
sql,2,2026-04-14
mongodb,2,2026-04-14
fastapi,1,2026-04-14
django,1,2026-04-14
angular,1,2026-04-14
scrum,1,2026-04-14
flask,1,2026-04-14
terraform,1,2026-04-14
spring boot,1,2026-04-14
