skill,count,date
ai,11,2026-07-28
agile,4,2026-07-28
react,4,2026-07-28
typescript,4,2026-07-28
ci/cd,4,2026-07-28
aws,3,2026-07-28
python,3,2026-07-28
git,2,2026-07-28
linux,2,2026-07-28
scrum,2,2026-07-28
vue,2,2026-07-28
javascript,2,2026-07-28
node.js,1,2026-07-28
pytorch,1,2026-07-28
machine learning,1,2026-07-28
java,1,2026-07-28
angular,1,2026-07-28
azure,1,2026-07-28
gcp,1,2026-07-28
docker,1,2026-07-28
kubernetes,1,2026-07-28
jenkins,1,2026-07-28
terraform,1,2026-07-28
mongodb,1,2026-07-28
