skill,count,date
ai,17,2026-09-02
python,9,2026-09-02
aws,9,2026-09-02
sql,8,2026-09-02
machine learning,8,2026-09-02
typescript,6,2026-09-02
javascript,6,2026-09-02
gcp,5,2026-09-02
ci/cd,5,2026-09-02
react,5,2026-09-02
docker,4,2026-09-02
java,4,2026-09-02
azure,4,2026-09-02
kubernetes,3,2026-09-02
agile,3,2026-09-02
git,3,2026-09-02
postgresql,2,2026-09-02
django,2,2026-09-02
linux,2,2026-09-02
node.js,2,2026-09-02
fastapi,1,2026-09-02
angular,1,2026-09-02
vue,1,2026-09-02
mysql,1,2026-09-02
scrum,1,2026-09-02
spring boot,1,2026-09-02
