skill,count,date
javascript,14,2025-12-09
ai,12,2025-12-09
react,12,2025-12-09
docker,11,2025-12-09
python,11,2025-12-09
kubernetes,10,2025-12-09
typescript,10,2025-12-09
sql,10,2025-12-09
ci/cd,9,2025-12-09
postgresql,9,2025-12-09
aws,7,2025-12-09
redis,5,2025-12-09
agile,5,2025-12-09
node.js,5,2025-12-09
vue,5,2025-12-09
gcp,4,2025-12-09
mysql,4,2025-12-09
angular,3,2025-12-09
flask,3,2025-12-09
mongodb,3,2025-12-09
django,3,2025-12-09
machine learning,3,2025-12-09
scrum,3,2025-12-09
linux,3,2025-12-09
terraform,2,2025-12-09
git,2,2025-12-09
fastapi,2,2025-12-09
java,1,2025-12-09
azure,1,2025-12-09
