skill,count,date
javascript,14,2025-12-08
react,13,2025-12-08
docker,10,2025-12-08
sql,10,2025-12-08
ai,10,2025-12-08
python,9,2025-12-08
kubernetes,9,2025-12-08
postgresql,9,2025-12-08
typescript,9,2025-12-08
ci/cd,8,2025-12-08
aws,6,2025-12-08
vue,6,2025-12-08
redis,5,2025-12-08
agile,5,2025-12-08
node.js,5,2025-12-08
mysql,4,2025-12-08
gcp,4,2025-12-08
django,3,2025-12-08
flask,3,2025-12-08
linux,3,2025-12-08
mongodb,3,2025-12-08
git,3,2025-12-08
scrum,3,2025-12-08
angular,3,2025-12-08
machine learning,3,2025-12-08
fastapi,2,2025-12-08
terraform,2,2025-12-08
java,1,2025-12-08
azure,1,2025-12-08
