skill,count,date
react,12,2026-02-09
ai,10,2026-02-09
python,9,2026-02-09
aws,9,2026-02-09
docker,8,2026-02-09
gcp,8,2026-02-09
postgresql,7,2026-02-09
typescript,7,2026-02-09
vue,6,2026-02-09
java,6,2026-02-09
ci/cd,6,2026-02-09
javascript,6,2026-02-09
angular,4,2026-02-09
azure,4,2026-02-09
django,4,2026-02-09
redis,3,2026-02-09
kubernetes,3,2026-02-09
sql,3,2026-02-09
node.js,3,2026-02-09
mysql,3,2026-02-09
mongodb,3,2026-02-09
agile,3,2026-02-09
git,3,2026-02-09
fastapi,2,2026-02-09
flask,2,2026-02-09
scrum,2,2026-02-09
linux,2,2026-02-09
machine learning,1,2026-02-09
pytorch,1,2026-02-09
jenkins,1,2026-02-09
