skill,count,date
ai,14,2026-06-04
python,7,2026-06-04
aws,7,2026-06-04
react,7,2026-06-04
ci/cd,6,2026-06-04
typescript,6,2026-06-04
azure,5,2026-06-04
javascript,4,2026-06-04
machine learning,4,2026-06-04
java,4,2026-06-04
gcp,3,2026-06-04
angular,3,2026-06-04
terraform,3,2026-06-04
redis,3,2026-06-04
kubernetes,3,2026-06-04
docker,3,2026-06-04
linux,2,2026-06-04
node.js,2,2026-06-04
jenkins,2,2026-06-04
git,2,2026-06-04
agile,2,2026-06-04
sql,2,2026-06-04
vue,2,2026-06-04
postgresql,1,2026-06-04
mongodb,1,2026-06-04
