skill,count,date
ai,14,2026-06-02
python,7,2026-06-02
aws,7,2026-06-02
react,7,2026-06-02
ci/cd,6,2026-06-02
typescript,6,2026-06-02
azure,5,2026-06-02
javascript,4,2026-06-02
machine learning,4,2026-06-02
java,4,2026-06-02
gcp,3,2026-06-02
angular,3,2026-06-02
terraform,3,2026-06-02
redis,3,2026-06-02
kubernetes,3,2026-06-02
docker,3,2026-06-02
linux,2,2026-06-02
node.js,2,2026-06-02
jenkins,2,2026-06-02
git,2,2026-06-02
agile,2,2026-06-02
sql,2,2026-06-02
vue,2,2026-06-02
postgresql,1,2026-06-02
mongodb,1,2026-06-02
