skill,count,date
ai,18,2026-06-10
python,8,2026-06-10
ci/cd,8,2026-06-10
react,7,2026-06-10
aws,6,2026-06-10
kubernetes,5,2026-06-10
typescript,5,2026-06-10
terraform,4,2026-06-10
docker,3,2026-06-10
azure,3,2026-06-10
postgresql,3,2026-06-10
linux,3,2026-06-10
javascript,2,2026-06-10
machine learning,2,2026-06-10
agile,2,2026-06-10
node.js,2,2026-06-10
redis,2,2026-06-10
angular,2,2026-06-10
jenkins,2,2026-06-10
gcp,2,2026-06-10
flask,1,2026-06-10
mongodb,1,2026-06-10
git,1,2026-06-10
java,1,2026-06-10
vue,1,2026-06-10
