skill,count,date
ai,16,2025-12-17
python,12,2025-12-17
react,10,2025-12-17
javascript,8,2025-12-17
typescript,7,2025-12-17
sql,7,2025-12-17
redis,7,2025-12-17
kubernetes,7,2025-12-17
docker,7,2025-12-17
aws,6,2025-12-17
postgresql,6,2025-12-17
agile,5,2025-12-17
ci/cd,5,2025-12-17
node.js,4,2025-12-17
machine learning,4,2025-12-17
scrum,4,2025-12-17
vue,4,2025-12-17
git,4,2025-12-17
java,3,2025-12-17
mysql,3,2025-12-17
gcp,3,2025-12-17
mongodb,2,2025-12-17
django,2,2025-12-17
terraform,2,2025-12-17
azure,2,2025-12-17
flask,2,2025-12-17
angular,1,2025-12-17
pytorch,1,2025-12-17
tensorflow,1,2025-12-17
numpy,1,2025-12-17
pandas,1,2025-12-17
fastapi,1,2025-12-17
linux,1,2025-12-17
