skill,count,date
react,14,2026-03-09
ai,7,2026-03-09
typescript,7,2026-03-09
javascript,7,2026-03-09
node.js,6,2026-03-09
agile,6,2026-03-09
python,5,2026-03-09
angular,5,2026-03-09
ci/cd,4,2026-03-09
git,4,2026-03-09
java,4,2026-03-09
aws,3,2026-03-09
terraform,2,2026-03-09
django,2,2026-03-09
vue,2,2026-03-09
scrum,2,2026-03-09
sql,2,2026-03-09
redis,2,2026-03-09
azure,2,2026-03-09
mongodb,2,2026-03-09
docker,2,2026-03-09
fastapi,1,2026-03-09
mysql,1,2026-03-09
gcp,1,2026-03-09
spring boot,1,2026-03-09
linux,1,2026-03-09
postgresql,1,2026-03-09
