skill,count,date
javascript,10,2026-03-22
react,6,2026-03-22
azure,6,2026-03-22
agile,6,2026-03-22
ci/cd,6,2026-03-22
typescript,5,2026-03-22
mysql,4,2026-03-22
git,4,2026-03-22
docker,4,2026-03-22
python,4,2026-03-22
aws,4,2026-03-22
node.js,4,2026-03-22
ai,4,2026-03-22
angular,3,2026-03-22
sql,3,2026-03-22
mongodb,3,2026-03-22
vue,2,2026-03-22
scrum,2,2026-03-22
java,2,2026-03-22
redis,2,2026-03-22
linux,1,2026-03-22
django,1,2026-03-22
gcp,1,2026-03-22
postgresql,1,2026-03-22
kubernetes,1,2026-03-22
